learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
22000.0,1.75,1.225851721958154E-7,22000.0,88.3,69.00727931593504,37.43315508021393,57.299270072992705,22000.0,266992.0,10.0,2257.7,2126.0990909279003,18208.0,17327.004383011186,6.8,6.828046735503663,4.8999999999999995,4.677368680976279,4.8999999999999995,4.677368680976279,1.5999999999999999,1.7126976771553506,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,1.8125,1.2711476301774386E-7,23000.0,77.7,52.21892730420474,-47.68211920529797,47.77517564402811,23000.0,280144.0,10.0,2362.1,2785.1655227093574,19736.0,19932.851543787376,6.6,7.32120208708925,4.8,4.9396356140913875,4.8,4.9396356140913875,1.5,1.9578900207451218,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,1.875,1.314946954759459E-7,24000.0,74.0,41.63913230857636,-75.67567567567566,34.34343434343434,24000.0,270888.0,10.0,2411.2,3236.6252245887918,18980.8,19272.65040182878,6.300000000000001,6.9290050592499295,4.6,4.765617600176404,4.6,4.765617600176404,1.3999999999999997,1.7126976771553506,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.9375,1.340262113242514E-7,25000.0,77.60000000000001,50.660575597249334,-93.10344827586206,40.58355437665783,25000.0,156568.0,10.0,962.3,645.18645883703,7288.0,9284.447210254362,1.9,2.8460498941515415,1.7,2.2135943621178655,1.7,2.2135943621178655,0.2,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,1.984375,1.3553068533332816E-7,26000.0,80.9,61.4692520596803,-36.428571428571374,56.78733031674209,26000.0,124064.0,10.0,1336.7000000000003,703.2524519055096,4347.200000000001,15.178932768808153,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,2.0625,1.38187379990187E-7,27000.0,83.8,65.54071300944439,-51.401869158878554,60.48780487804878,27000.0,131448.0,10.0,1881.5,970.581297756945,4730.4,1196.6058666077147,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.10000000000000002,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,2.15625,1.430508240850436E-7,28000.0,77.4,51.74239836009566,-148.3516483516484,44.878048780487816,28000.0,200528.0,10.0,1451.7,1277.014143313308,11699.2,10694.630145804742,3.8,3.5213633723318014,2.9,2.766867462592951,2.9,2.766867462592951,0.8999999999999999,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,2.234375,1.4753103540796378E-7,29000.0,77.7,48.257459742911514,-92.24137931034481,41.469816272965886,29000.0,221672.0,10.0,2021.0000000000002,1650.1723815677224,13903.2,11768.186689356842,4.6,3.9496835316263,3.3000000000000003,2.8303906287138374,3.3000000000000003,2.8303906287138374,1.3,1.4181364924121764,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.296875,1.523184214925601E-7,30000.0,80.9,57.85525154457195,-76.85185185185183,51.76767676767678,30000.0,296088.0,10.0,2581.3999999999996,2053.4847996082713,21179.2,18045.808062323566,6.7,6.18331087147762,5.1000000000000005,4.38304815295373,5.1000000000000005,4.38304815295373,1.6,1.837873166945363,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,2.375,1.5848649329402387E-7,31000.0,79.5,53.097831060675404,-37.583892617449614,45.91029023746703,31000.0,305184.0,10.0,2913.0,2670.0059092735273,22201.6,18154.36693837968,7.1,6.1544924874255695,5.300000000000001,4.3728963196286985,5.300000000000001,4.3728963196286985,1.8,1.8135294011647258,0.0,0.0,0.0,0.0,1.0,0.0
32000.0,2.4375,1.6331902265341753E-7,32000.0,76.6,49.80070450635215,-62.499999999999964,44.1527446300716,32000.0,298880.0,10.0,2213.7000000000003,2765.4165468836295,21657.600000000002,27959.953024916827,7.1000000000000005,9.573690801125528,5.300000000000001,6.896859188548557,5.300000000000001,6.896859188548557,1.6,2.3664319132398464,0.0,0.0,0.0,0.0,1.0,0.0
33000.0,2.53125,1.7099428482146735E-7,33000.0,77.8,54.69480214689496,-89.74358974358974,51.208791208791204,33000.0,316464.0,10.0,2536.9,3181.863585664504,23173.6,28879.929344327233,7.7,9.753062197188237,5.6,6.979334575094613,5.6,6.979334575094613,1.7999999999999998,2.2997584414213788,0.0,0.0,0.0,0.0,1.0,0.0
34000.0,2.625,1.7606164975505745E-7,34000.0,80.80000000000001,59.057468813306336,-35.21126760563375,50.12987012987015,34000.0,208936.0,10.0,1485.1000000000001,1949.936377879488,12736.8,13843.656524038566,4.4,5.103375789067903,3.2,3.5213633723318014,3.2,3.5213633723318014,1.2,1.6865480854231356,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.6875,1.790685281674896E-7,35000.0,77.5,52.2860293493935,-84.4262295081967,46.55581947743469,35000.0,185968.0,10.0,1176.1000000000001,930.5318013551893,10199.2,9790.005933490427,3.9999999999999996,5.033222956847167,3.0,3.527668414752787,3.0,3.527668414752787,0.8999999999999999,1.286683937707919,0.0,0.0,0.0,0.0,1.0,0.0
36000.0,2.765625,1.8347678835400286E-7,36000.0,86.7,69.65604095750021,13.636363636363647,56.53594771241831,36000.0,218112.0,10.0,2159.9,940.0034810810248,13216.8,14570.38674694517,4.199999999999999,4.9396356140913875,3.0999999999999996,3.478505426185217,3.0999999999999996,3.478505426185217,1.0,1.247219128924647,0.0,0.0,0.0,0.0,1.0,0.0
37000.0,2.84375,1.8686819304194723E-7,37000.0,79.7,51.40657615044333,-25.308641975308593,42.16524216524217,37000.0,167800.0,10.0,1058.0,1528.7202345607766,8504.0,10357.27085460043,2.7,4.056544780420347,2.1,2.8067379246694513,2.1,2.8067379246694513,0.5,0.97182531580755,0.0,0.0,0.0,0.0,1.0,0.0
38000.0,2.859375,1.875234819534753E-7,38000.0,82.89999999999999,60.27394714344124,-20.422535211267622,49.55752212389379,38000.0,162112.0,10.0,1292.5,867.7649771427489,7796.8,1857.8044867830174,2.5999999999999996,0.8432740427115678,1.7999999999999998,0.4216370213557839,1.7999999999999998,0.4216370213557839,0.8,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
39000.0,2.9375,1.905966847617594E-7,39000.0,77.60000000000001,54.72479141064615,-70.99236641221371,52.13675213675214,39000.0,152056.0,10.0,1246.1000000000001,779.6348789301595,6779.200000000001,3929.5994933043467,2.2,1.9321835661585918,1.6,0.9660917830792959,1.6,0.9660917830792959,0.6000000000000001,0.9660917830792958,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,2.96875,1.9179679737943753E-7,40000.0,81.3,61.83330748067172,-28.08219178082194,58.991228070175424,40000.0,148448.0,10.0,1593.9,837.6012641930394,6437.6,4070.690992393743,2.0,1.9436506316151,1.5,0.97182531580755,1.5,0.97182531580755,0.5,0.97182531580755,0.0,0.0,0.0,0.0,1.0,0.0
41000.0,3.015625,1.938678259547387E-7,41000.0,86.6,73.07647486668837,27.567567567567586,71.42857142857143,41000.0,170784.0,10.0,1980.2,1245.6294080593243,8592.0,4434.064501109563,3.0,2.1081851067789197,2.0,1.0540925533894598,2.0,1.0540925533894598,1.0,1.0540925533894598,0.0,0.0,0.0,0.0,1.0,0.0
42000.0,3.0625,1.9645738777601066E-7,42000.0,88.0,75.99884794470134,24.52830188679247,75.7085020242915,42000.0,213544.0,10.0,2567.1,1633.127296528555,12968.800000000001,8692.358595660648,4.7,2.9078437983419185,3.1,2.183269719175042,3.1,2.183269719175042,1.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
43000.0,3.125,1.9947396746526171E-7,43000.0,85.9,71.75254427438095,-10.156250000000009,69.41431670281996,43000.0,186568.0,10.0,1849.5,1801.6766419705345,10304.0,10039.24955141347,3.5,3.5039660069381062,2.5,2.4608038433722337,2.5,2.4608038433722337,0.7999999999999999,0.7888106377466155,0.0,0.0,0.0,0.0,1.0,0.0
44000.0,3.171875,2.0162629274030535E-7,44000.0,83.2,60.29551481119098,8.196721311475414,54.2234332425068,44000.0,177488.0,10.0,2344.8,2216.098563792785,9416.8,10357.676925299847,3.3,3.7133393177689658,2.4,2.5473297566057065,2.4,2.5473297566057065,0.7,0.9486832980505138,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,3.25,2.0477160837294335E-7,45000.0,81.2,60.80328251659607,-43.51145038167934,55.660377358490585,45000.0,155624.0,10.0,1744.7,2289.8930130272706,7324.0,6875.879127629991,2.9,4.332051092342595,2.2,2.8982753492378874,2.2,2.8982753492378874,0.5,1.0801234497346435,0.0,0.0,0.0,0.0,1.0,0.0
