learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),number of subtrees,tree size (nodes),tree size (leaves),number of option nodes
11000.0,0.421875,1.0852934792637826E-7,1000.0,0.637883573874147,0.8318078650101199,11000.0,1414032.0
12000.0,0.5,1.3893525142015683E-7,1000.0,0.6540954326437646,0.8434784903938932,12000.0,1504424.0
13000.0,0.546875,1.6024527010611363E-7,1000.0,0.6196874434426387,0.8218784982475198,13000.0,1757296.0
14000.0,0.609375,1.8874412894042002E-7,1000.0,0.6513167364155051,0.8971972570185907,14000.0,1762584.0
15000.0,0.65625,2.1118968207803038E-7,1000.0,0.6313616159236038,0.8484227678373542,15000.0,1850936.0
16000.0,0.71875,2.412442376630174E-7,1000.0,0.6890502787925896,0.9170405780280628,16000.0,1858800.0
17000.0,0.796875,2.476071434405943E-7,1000.0,0.7933846752173296,1.0479831024695723,17000.0,314824.0
18000.0,0.8125,2.4923501769080757E-7,1000.0,0.7274742533795473,0.9340362150636478,18000.0,402720.0
19000.0,0.84375,2.5385592986519135E-7,1000.0,0.6649981787576703,0.8519296708151483,19000.0,571584.0
20000.0,0.875,2.578581592792438E-7,1000.0,0.851817055212156,1.1140567836379687,20000.0,495056.0
21000.0,0.90625,2.6324586037339435E-7,1000.0,0.6777732419193784,0.8758321521032597,21000.0,666432.0
22000.0,0.9375,2.713519239073826E-7,1000.0,0.6194397942433992,0.802682748612244,22000.0,1002680.0
23000.0,0.984375,2.835741745204561E-7,1000.0,0.669564722067219,0.9059635632748301,23000.0,1007888.0
24000.0,1.015625,2.917603706009686E-7,1000.0,0.6684650000441362,0.8810437227052909,24000.0,1012592.0
25000.0,1.0625,3.0510990958039957E-7,1000.0,0.7129661467296888,0.9518609818122962,25000.0,1100848.0
26000.0,1.109375,3.1850853702053425E-7,1000.0,0.6706232180281363,0.8628087437956207,26000.0,1104896.0
27000.0,1.140625,3.288247454394069E-7,1000.0,0.6768156221130043,0.8757318097981773,27000.0,1276064.0
28000.0,1.1875,3.4637270598775806E-7,1000.0,0.6296474217455783,0.8275204966504376,28000.0,1447064.0
29000.0,1.25,3.738753083679411E-7,1000.0,0.6564928600180728,0.8732078295705892,29000.0,1700968.0
30000.0,1.296875,3.9754516264009807E-7,1000.0,0.5382482132185071,0.7022299675486761,30000.0,1951896.0
31000.0,1.359375,4.2920987147630915E-7,1000.0,0.52019399713486,0.6741543013037118,31000.0,1958384.0
32000.0,1.421875,4.6230196150847607E-7,1000.0,0.6300708567705146,0.8280449972563416,32000.0,2046664.0
33000.0,1.484375,4.941301691966752E-7,1000.0,0.7159389318228276,0.9673229082586833,33000.0,1968496.0
34000.0,1.546875,5.287286734932827E-7,1000.0,0.638625800099609,0.8133618605305706,34000.0,2139832.0
35000.0,1.625,5.787976099074715E-7,1000.0,0.6418518570957586,0.8391965881770231,35000.0,2477312.0
36000.0,1.6875,6.16241692720602E-7,1000.0,0.6345523067672082,0.8417066903054875,36000.0,2315824.0
37000.0,1.765625,6.66495923522032E-7,1000.0,0.6955179841851925,0.9218047587530973,37000.0,2486480.0
38000.0,1.828125,7.08064859888206E-7,1000.0,0.6264651718350117,0.8157736976978007,38000.0,2570936.0
39000.0,1.90625,7.63531263348543E-7,1000.0,0.6275910585866106,0.8500874404403997,39000.0,2744368.0
40000.0,1.984375,8.191307359892462E-7,1000.0,0.6526663008781548,0.8918614274950455,40000.0,2750952.0
41000.0,2.09375,8.264999875488382E-7,1000.0,0.7408995759664455,0.9797508731859987,41000.0,260440.0
42000.0,2.125,8.293149747057923E-7,1000.0,0.8756856004291093,1.1273152736615877,42000.0,348200.0
43000.0,2.140625,8.311606749581795E-7,1000.0,0.7496794796928415,0.9919582354227762,43000.0,456608.0
44000.0,2.171875,8.382644025712379E-7,1000.0,0.6905507109916651,0.8944586216141911,44000.0,878696.0
45000.0,2.234375,8.516944621482659E-7,1000.0,0.6335462248665751,0.8239139367166366,45000.0,830616.0
46000.0,2.28125,8.644090525598991E-7,1000.0,0.6320092314951685,0.8288672114247134,46000.0,1048488.0
47000.0,2.328125,8.787685914689469E-7,1000.0,0.7236968020728435,0.9717591634108413,47000.0,1184136.0
48000.0,2.375,8.988402421689697E-7,1000.0,0.6365753283325877,0.820177009837962,48000.0,1655176.0
49000.0,2.4375,9.281515505992705E-7,1000.0,0.6244626371872735,0.8256695644884471,49000.0,1812832.0
50000.0,2.5,9.625489150898325E-7,1000.0,0.6321571615880042,0.8083921478696322,50000.0,2127392.0
